Country,CompanyType,YearsInOperation,AnnualRevenue,CompanySize,MainLogisticsChallenges,GCCShipmentFrequency,CurrentWarehousingSolution,CurrentDeliveryModel,PainPointsCurrentModel,TechAdoption,SustainabilityImportance,CarbonTracking,EcoPayExtra,EcoFeaturesMatterMost,LikelihoodToUseAIPlatform,MotivatorsToSwitch,ConcernsSwitching,WillingnessToSpendPerMonth,PilotProgramInterest
UAE,SME Manufacturer,8+,"100,000 – 500,000",1–10,"Finding flexible warehouse space, Technology adoption",Weekly,On-demand (pay as you go),Outsourced to 3PL,Difficult to scale,Basic software (inventory/ERP),2,No,No,Electric vehicles,5,"Faster deliveries, Sustainability features","None, Reliability of new provider",Less than 500,Maybe
UAE,Other,1-3,"1,000,001 – 5,000,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Rarely,Third-party logistics (3PL),Outsourced to 3PL,"Environmental concerns, Lack of flexibility",Basic software (inventory/ERP),3,No,No,"Electric vehicles, Green packaging",4,"Flexible contract terms, Lower costs",Data security/privacy,"500 – 1,000",Yes
Saudi Arabia,SME Manufacturer,8+,"1,000,001 – 5,000,000",1–10,"Carbon emissions / sustainability, Technology adoption",Weekly,Own warehouse,No dedicated model,"Difficult to scale, High cost, Lack of flexibility",Manual (spreadsheets/phone/email),2,No,Yes,Carbon offset options,2,Faster deliveries,None,"1,001 – 5,000",No
UAE,SME Retailer,4-7,"100,000 – 500,000",More than 200,"Last-mile delivery costs, Managing cross-border compliance",Monthly,On-demand (pay as you go),No dedicated model,"High cost, Lack of flexibility",Manual (spreadsheets/phone/email),2,Yes,Yes,"Green packaging, Route optimization for less fuel",5,"Flexible contract terms, Lower costs",Reliability of new provider,"More than 10,000",Yes
Saudi Arabia,SME Manufacturer,4-7,"Less than 100,000",51–200,"Carbon emissions / sustainability, Last-mile delivery costs",Weekly,Own warehouse,In-house,High cost,Basic software (inventory/ERP),1,Yes,Maybe,"Green packaging, Solar-powered warehouses",4,"Faster deliveries, Lower costs","None, Reliability of new provider","500 – 1,000",Yes
Saudi Arabia,SME Manufacturer,1-3,"100,000 – 500,000",More than 200,"Finding flexible warehouse space, Technology adoption",Weekly,Own warehouse,In-house,"High cost, Lack of flexibility",Basic software (inventory/ERP),2,No,Yes,Green packaging,5,Better tracking/visibility,Reliability of new provider,"1,001 – 5,000",Maybe
Saudi Arabia,SME Manufacturer,8+,"500,001 – 1,000,000",1–10,"Other, Technology adoption",Weekly,Third-party logistics (3PL),Mix of both,"High cost, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",2,No,Yes,Green packaging,3,"Better tracking/visibility, Sustainability features",Price transparency,"500 – 1,000",No
Kuwait,SME Retailer,1-3,"100,000 – 500,000",11–50,"Last-mile delivery costs, Tracking shipments",Weekly,Rented long-term,In-house,Lack of flexibility,Basic software (inventory/ERP),3,No,No,"Green packaging, Solar-powered warehouses",4,"Faster deliveries, Lower costs",Price transparency,"500 – 1,000",Yes
UAE,SME Manufacturer,4-7,"Less than 100,000",51–200,"Last-mile delivery costs, Managing cross-border compliance",Rarely,Rented long-term,Mix of both,"High cost, Lack of flexibility",Basic software (inventory/ERP),3,No,Yes,Carbon offset options,3,"Lower costs, Sustainability features","Data security/privacy, Integration with existing systems","5,001 – 10,000",Yes
Saudi Arabia,SME Retailer,1-3,"500,001 – 1,000,000",51–200,"Last-mile delivery costs, Other",Monthly,Own warehouse,Mix of both,"Difficult to scale, Lack of flexibility, Poor visibility/tracking",Basic software (inventory/ERP),2,Planning to,Maybe,"Electric vehicles, Route optimization for less fuel",5,"Better tracking/visibility, Lower costs","Data security/privacy, None","5,001 – 10,000",Yes
Saudi Arabia,Other,4-7,"500,001 – 1,000,000",51–200,"Carbon emissions / sustainability, Managing cross-border compliance",Rarely,Third-party logistics (3PL),Mix of both,Lack of flexibility,Basic software (inventory/ERP),3,Planning to,Yes,Solar-powered warehouses,4,"Faster deliveries, Sustainability features","Data security/privacy, None",Less than 500,No
Qatar,E-commerce Brand,4-7,"100,000 – 500,000",51–200,"Last-mile delivery costs, Managing cross-border compliance",Weekly,Rented long-term,Mix of both,"Environmental concerns, High cost","Automated (IoT, AI-driven, warehouse management systems)",1,No,Yes,Green packaging,4,"Faster deliveries, Lower costs","Price transparency, Reliability of new provider","500 – 1,000",Yes
Kuwait,Other,4-7,"Less than 100,000",1–10,"Carbon emissions / sustainability, Last-mile delivery costs",Weekly,Rented long-term,In-house,"Delays at borders, Lack of flexibility",Basic software (inventory/ERP),2,Yes,Maybe,Carbon offset options,4,"Faster deliveries, Lower costs",None,"500 – 1,000",Yes
UAE,Logistics Provider,1-3,"500,001 – 1,000,000",51–200,"Last-mile delivery costs, Other",Rarely,On-demand (pay as you go),In-house,"Difficult to scale, Environmental concerns, Lack of flexibility",Basic software (inventory/ERP),1,Yes,No,"Green packaging, Solar-powered warehouses",4,Lower costs,Data security/privacy,Less than 500,Yes
Saudi Arabia,SME Retailer,1-3,"100,000 – 500,000",1–10,"Carbon emissions / sustainability, Last-mile delivery costs",Daily,Rented long-term,Mix of both,Lack of flexibility,Manual (spreadsheets/phone/email),2,No,No,"Carbon offset options, Electric vehicles",2,Lower costs,"Integration with existing systems, Reliability of new provider","500 – 1,000",Yes
Oman,SME Manufacturer,8+,"1,000,001 – 5,000,000",11–50,"Finding flexible warehouse space, Managing cross-border compliance",Weekly,Own warehouse,Outsourced to 3PL,Environmental concerns,Manual (spreadsheets/phone/email),3,No,No,"Electric vehicles, Solar-powered warehouses",5,Sustainability features,"None, Price transparency",Less than 500,Maybe
Oman,Logistics Provider,8+,"100,000 – 500,000",11–50,"Carbon emissions / sustainability, Last-mile delivery costs",Weekly,None,Outsourced to 3PL,"Environmental concerns, Lack of flexibility",Basic software (inventory/ERP),4,Yes,No,"Green packaging, Route optimization for less fuel",3,"Flexible contract terms, Lower costs","Integration with existing systems, Reliability of new provider","5,001 – 10,000",Maybe
UAE,SME Retailer,8+,"Less than 100,000",11–50,"Last-mile delivery costs, Technology adoption",Weekly,Rented long-term,Outsourced to 3PL,Poor visibility/tracking,Manual (spreadsheets/phone/email),2,No,Yes,"Carbon offset options, Green packaging",4,"Flexible contract terms, Lower costs",Reliability of new provider,Less than 500,Yes
UAE,E-commerce Brand,1-3,"1,000,001 – 5,000,000",11–50,"Carbon emissions / sustainability, Finding flexible warehouse space",Weekly,On-demand (pay as you go),No dedicated model,"High cost, Lack of flexibility, Poor visibility/tracking",Manual (spreadsheets/phone/email),3,Yes,No,"Electric vehicles, Solar-powered warehouses",3,"Better tracking/visibility, Lower costs","Data security/privacy, None",Less than 500,Maybe
Bahrain,SME Retailer,4-7,"100,000 – 500,000",1–10,"Last-mile delivery costs, Tracking shipments",Daily,Own warehouse,In-house,"High cost, Lack of flexibility",Manual (spreadsheets/phone/email),1,No,No,Solar-powered warehouses,5,Flexible contract terms,Data security/privacy,"1,001 – 5,000",Yes
Oman,E-commerce Brand,1-3,"100,000 – 500,000",11–50,"Finding flexible warehouse space, Tracking shipments",Daily,Own warehouse,In-house,"Difficult to scale, High cost, Poor visibility/tracking",Basic software (inventory/ERP),2,No,Maybe,Electric vehicles,2,"Faster deliveries, Lower costs","Data security/privacy, Reliability of new provider","500 – 1,000",Maybe
Kuwait,SME Manufacturer,8+,"100,000 – 500,000",51–200,"Finding flexible warehouse space, Technology adoption",Monthly,Third-party logistics (3PL),In-house,High cost,Manual (spreadsheets/phone/email),2,No,Yes,"Electric vehicles, Route optimization for less fuel",3,Lower costs,Price transparency,"1,001 – 5,000",No
Saudi Arabia,SME Retailer,1-3,"Less than 100,000",More than 200,"Last-mile delivery costs, Tracking shipments",Weekly,Third-party logistics (3PL),In-house,"Difficult to scale, Environmental concerns, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",2,Planning to,No,"Electric vehicles, Green packaging",4,"Better tracking/visibility, Faster deliveries","Data security/privacy, None","500 – 1,000",Yes
Bahrain,SME Manufacturer,1-3,"500,001 – 1,000,000",11–50,"Other, Technology adoption",Weekly,Own warehouse,Outsourced to 3PL,"Difficult to scale, Environmental concerns, High cost",Manual (spreadsheets/phone/email),2,No,Yes,"Electric vehicles, Solar-powered warehouses",5,Faster deliveries,"Price transparency, Reliability of new provider","5,001 – 10,000",Yes
Qatar,Other,Less than 1,"500,001 – 1,000,000",51–200,"Last-mile delivery costs, Managing cross-border compliance",Monthly,On-demand (pay as you go),Outsourced to 3PL,"Difficult to scale, Lack of flexibility",Basic software (inventory/ERP),4,Planning to,No,Green packaging,4,Better tracking/visibility,"None, Price transparency","1,001 – 5,000",Yes
UAE,Logistics Provider,8+,"100,000 – 500,000",51–200,"Other, Tracking shipments",Daily,Third-party logistics (3PL),No dedicated model,High cost,Basic software (inventory/ERP),3,Planning to,Maybe,Green packaging,2,Lower costs,"Data security/privacy, Price transparency",Less than 500,Yes
Saudi Arabia,E-commerce Brand,4-7,"500,001 – 1,000,000",1–10,"Last-mile delivery costs, Managing cross-border compliance",Daily,Third-party logistics (3PL),In-house,Delays at borders,Basic software (inventory/ERP),1,No,Maybe,Electric vehicles,4,"Faster deliveries, Lower costs","Data security/privacy, Integration with existing systems",Less than 500,Yes
UAE,E-commerce Brand,4-7,"100,000 – 500,000",1–10,"Last-mile delivery costs, Technology adoption",Weekly,Own warehouse,Outsourced to 3PL,"Difficult to scale, Lack of flexibility",Basic software (inventory/ERP),1,No,Yes,"Route optimization for less fuel, Solar-powered warehouses",3,Sustainability features,"Integration with existing systems, Reliability of new provider","500 – 1,000",Maybe
Qatar,Other,4-7,"500,001 – 1,000,000",11–50,"Technology adoption, Tracking shipments",Weekly,Own warehouse,Mix of both,"Delays at borders, High cost, Lack of flexibility",Basic software (inventory/ERP),3,Yes,Yes,"Route optimization for less fuel, Solar-powered warehouses",5,Faster deliveries,"Data security/privacy, Reliability of new provider","500 – 1,000",No
Kuwait,SME Retailer,1-3,"100,000 – 500,000",More than 200,"Other, Tracking shipments",Weekly,Rented long-term,Outsourced to 3PL,"Difficult to scale, High cost, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",2,No,Maybe,"Green packaging, Route optimization for less fuel",3,"Lower costs, Sustainability features",None,"500 – 1,000",No
Qatar,E-commerce Brand,8+,"100,000 – 500,000",11–50,"Managing cross-border compliance, Other",Rarely,Own warehouse,In-house,"Difficult to scale, High cost","Automated (IoT, AI-driven, warehouse management systems)",3,No,Yes,Carbon offset options,3,"Flexible contract terms, Sustainability features",Integration with existing systems,Less than 500,Yes
UAE,SME Manufacturer,4-7,"1,000,001 – 5,000,000",51–200,"Last-mile delivery costs, Other",Monthly,Third-party logistics (3PL),Mix of both,"Difficult to scale, Environmental concerns, Poor visibility/tracking","Automated (IoT, AI-driven, warehouse management systems)",2,No,Yes,Electric vehicles,4,"Faster deliveries, Lower costs","Data security/privacy, None",Less than 500,Maybe
Kuwait,E-commerce Brand,1-3,"Less than 100,000",More than 200,"Last-mile delivery costs, Managing cross-border compliance",Monthly,Rented long-term,In-house,"High cost, Lack of flexibility, Poor visibility/tracking",Basic software (inventory/ERP),1,No,Maybe,Route optimization for less fuel,2,"Lower costs, Sustainability features",Data security/privacy,"500 – 1,000",No
Kuwait,E-commerce Brand,4-7,"500,001 – 1,000,000",11–50,"Last-mile delivery costs, Tracking shipments",Daily,Own warehouse,Outsourced to 3PL,High cost,Basic software (inventory/ERP),3,Planning to,No,"Carbon offset options, Route optimization for less fuel",5,Sustainability features,"None, Price transparency","500 – 1,000",No
Qatar,Logistics Provider,8+,"500,001 – 1,000,000",51–200,"Carbon emissions / sustainability, Tracking shipments",Monthly,Rented long-term,In-house,"Environmental concerns, High cost",Basic software (inventory/ERP),1,No,Maybe,"Carbon offset options, Electric vehicles",2,Flexible contract terms,"Data security/privacy, Price transparency",Less than 500,Yes
Saudi Arabia,E-commerce Brand,4-7,"Above 5,000,000",11–50,"Carbon emissions / sustainability, Finding flexible warehouse space",Weekly,Rented long-term,In-house,"Environmental concerns, High cost, Poor visibility/tracking",Basic software (inventory/ERP),2,No,No,Electric vehicles,4,Faster deliveries,"None, Reliability of new provider","1,001 – 5,000",No
UAE,SME Manufacturer,4-7,"Above 5,000,000",11–50,"Finding flexible warehouse space, Tracking shipments",Daily,Third-party logistics (3PL),Mix of both,Delays at borders,Basic software (inventory/ERP),1,Planning to,No,"Green packaging, Solar-powered warehouses",3,Sustainability features,None,"500 – 1,000",Maybe
UAE,E-commerce Brand,1-3,"500,001 – 1,000,000",More than 200,"Carbon emissions / sustainability, Finding flexible warehouse space",Weekly,On-demand (pay as you go),Mix of both,High cost,Basic software (inventory/ERP),3,No,Yes,"Electric vehicles, Green packaging",4,"Lower costs, Sustainability features","Data security/privacy, Reliability of new provider","500 – 1,000",Maybe
UAE,SME Retailer,1-3,"Less than 100,000",51–200,"Finding flexible warehouse space, Other",Weekly,Own warehouse,Outsourced to 3PL,High cost,"Automated (IoT, AI-driven, warehouse management systems)",3,No,Maybe,"Carbon offset options, Green packaging",4,Sustainability features,"Data security/privacy, Integration with existing systems","500 – 1,000",Yes
UAE,E-commerce Brand,4-7,"500,001 – 1,000,000",51–200,"Managing cross-border compliance, Other",Monthly,Own warehouse,Outsourced to 3PL,"Environmental concerns, High cost, Lack of flexibility",Basic software (inventory/ERP),1,No,Maybe,Carbon offset options,2,Lower costs,"None, Reliability of new provider","500 – 1,000",Maybe
Bahrain,SME Retailer,4-7,"1,000,001 – 5,000,000",51–200,"Last-mile delivery costs, Technology adoption",Weekly,On-demand (pay as you go),Mix of both,"Difficult to scale, Lack of flexibility",Manual (spreadsheets/phone/email),4,No,Yes,Electric vehicles,4,"Faster deliveries, Sustainability features","None, Reliability of new provider","More than 10,000",Maybe
Saudi Arabia,E-commerce Brand,4-7,"100,000 – 500,000",1–10,"Finding flexible warehouse space, Managing cross-border compliance",Weekly,Rented long-term,Mix of both,"Delays at borders, Environmental concerns, High cost",Basic software (inventory/ERP),4,Yes,No,"Green packaging, Solar-powered warehouses",4,"Faster deliveries, Lower costs","Data security/privacy, Price transparency","1,001 – 5,000",No
